1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,result
0.663314347,0.001394328,0.001364661,0.152842055,0.005547644,0.002521657,0.049661801,0.007980301,0.011569954,0.103803251,1.28E-18
0.020216283,0.004924921,0.010986362,0.006302521,0.001722,0.007060201,0.00199752,0.018873123,0.040122606,0.887794462,1.13E-19
0.002029846,0.009435026,0.00436041,0.17140924,0.002292974,0.003533436,0.299101605,0.194151036,0.211367139,0.102319287,1.46E-16
0.490082943,0.01370357,0.005048684,0.062747926,0.012621709,0.01334295,0.006851785,0.016227912,0.369275153,0.010097367,1.49E-16
0.014356735,0.004367421,0.009710542,0.003112949,0.313896762,0.055986619,0.023788505,0.19797426,0.108023974,0.268782233,4.55E-15
0.020575725,0.001945461,0.007946714,0.156856926,0.001220035,0.019388664,0.08147855,0.006759653,0.323408184,0.380420088,8.00E-17
0.04854856,0.005795278,0.001737086,0.696174667,9.06E-04,0.003811107,0.066967662,0.012908346,0.053235697,0.109915617,5.94E-18
0.022890778,0.018237159,0.002867636,0.623207728,0.001987221,0.015394677,0.06062283,0.051567138,0.028047492,0.175177341,3.51E-16
0.114266364,0.009022302,0.102704272,0.152314837,0.02365633,0.006796962,0.018842823,0.128900392,0.095762179,0.34773354,2.10E-13
0.066922844,0.012521048,0.065929796,0.012521048,0.006044644,0.025517033,0.460126938,0.232287034,0.072665256,0.045464358,3.77E-14
0.044486438,0.00240148,0.546317074,0.001181056,7.87E-04,0.160584229,0.080351167,0.126254872,0.037045786,5.91E-04,1.93E-18
0.002138016,0.002319975,0.128462903,0.00304781,0.001000773,0.008870491,0.376927626,0.325706228,0.132147569,0.019378611,5.42E-18
0.004545214,0.005020876,0.062628825,0.011468738,0.003541039,0.021933302,0.276676708,0.378362666,0.107605306,0.128217325,1.84E-15
0.252024205,0.00140629,0.009971874,0.060214779,0.001278445,0.074746442,0.507287139,0.047515554,0.008395125,0.037160147,1.53E-16
0.060772774,0.015199591,0.00821392,0.686207779,0.00191914,0.008111566,0.002302968,0.020829069,0.010081883,0.18636131,7.30E-18
0.16526144,0.00197185,0.009655266,0.003909703,0.001869858,0.071020602,0.030189706,0.165703407,0.399027674,0.151390494,4.94E-16
0.064433902,0.015294201,5.31E-04,0.613077958,0.003327905,0.00261984,0.044749699,0.04956454,0.103696099,0.102704808,6.61E-17
0.099204632,0.13028893,0.024077481,0.392679364,0.00573531,0.010307326,0.022833027,0.091629694,0.09070988,0.132534358,1.82E-13
0.007611967,0.034342361,0.02496017,0.006195787,0.006195787,0.073818375,0.56133829,0.199858382,0.028323597,0.057355284,3.37E-15
0.456257269,0.002546289,0.006632926,0.159661752,0.052906227,0.060073559,0.072899312,0.036465374,0.031687152,0.120870139,3.98E-14
0.049238023,0.004283011,0.334539659,0.001560477,0.002124905,0.191507022,0.156877718,0.010458515,0.221654105,0.027756566,4.52E-16
0.301622985,0.009376028,0.026154184,0.061410242,0.004331615,0.008224586,0.370161202,0.043096831,0.03920386,0.136418467,1.38E-14
0.030399422,0.002964034,0.047316103,0.010627146,0.348888487,0.019808422,0.420892825,0.051147659,0.017964938,0.049990963,6.05E-15
0.339067435,0.275385473,0.007096415,0.135166264,0.001932008,0.030540591,9.66E-04,0.025004644,0.038825933,0.146015233,7.24E-16
0.110660625,0.007393275,0.078225614,0.087288338,0.005723825,0.096112569,0.062246601,0.032911996,0.255187217,0.26424994,4.25E-13
0.436728838,0.028079524,0.001516704,0.043861447,0.00143472,0.018979299,0.014265218,0.029473253,0.32523058,0.100430416,3.05E-16
0.0083061,0.002042484,0.368872549,0.017156863,0.002178649,0.024237473,0.166938998,0.01416122,0.386029412,0.010076253,5.21E-17
0.016369851,0.006296096,0.053067098,0.010793308,0.094801223,0.125562151,0.126281705,0.305450621,0.038855909,0.222522036,2.34E-13
0.007156944,0.037788663,0.04885807,0.011101215,0.001081494,0.562567593,0.06498505,0.077994783,0.00349895,0.184967237,2.93E-16
0.297506371,0.002366218,0.06934838,0.010079177,0.001319621,0.083682199,0.171368766,0.002525482,0.319553149,0.042250637,3.18E-16
0.009250658,0.027945502,0.092971048,0.001277288,0.002012695,0.024578108,0.25,0.471860969,0.016062858,0.104040873,2.99E-16
0.039981911,0.008991275,0.879256225,5.85E-04,0.001755693,0.027133433,6.65E-04,4.79E-04,0.017583528,0.023568844,1.16E-21
0.040006839,0.009873483,0.020046162,0.061249786,0.21743033,0.015344503,0.253376646,0.088818601,0.049367413,0.244486237,4.40E-13
0.004767959,0.005085823,0.014621742,0.00317864,0.003496503,0.003496503,0.162110617,0.710743802,0.085823268,0.006675143,9.09E-19
0.003466719,0.013470681,0.034270998,0.001683835,0.007131537,0.003466719,0.283478605,0.594492868,0.01703645,0.041501585,7.94E-18
0.039626809,0.012033099,0.012560578,0.116671612,0.004022022,0.063693008,0.212408928,0.267991956,0.076484357,0.194507632,1.52E-13
0.029585799,0.043392505,0.021696252,0.035502959,0.029585799,0.157790927,0.059171598,0.546351085,0.029585799,0.047337278,2.09E-13
0.026315789,0.029605263,0.023026316,0.032894737,0.049342105,0.036184211,0.095394737,0.572368421,0.108552632,0.026315789,1.64E-13
0.011032098,0.017851055,0.019093079,0.016000195,0.243777702,0.002264868,0.237177926,0.264210219,0.074618869,0.113973991,1.77E-14
0.00301398,0.006348596,0.008015904,0.003142234,0.002244453,0.078042837,0.115749647,0.651660895,0.127741439,0.004040015,3.29E-18
0.487310014,0.012217293,0.003272489,0.205621409,0.001236274,0.001418079,0.013671733,0.004690568,0.087011854,0.183550287,7.19E-18
0.075577422,0.003439479,0.024964694,0.411871896,0.00193613,0.005648945,0.037333151,9.79E-04,0.172361168,0.265887659,4.90E-17
0.013022182,0.001318702,0.001766119,0.275585174,0.004521264,0.008288984,0.212287477,0.024160505,0.111077097,0.347972496,6.21E-17
0.028170446,0.00437303,0.006254449,0.296196481,0.00681379,0.018763348,0.200447473,0.04164548,0.027560256,0.369775247,2.48E-15
0.024986849,8.77E-04,0.006224794,0.320708399,0.001753463,0.00832895,0.071628967,8.77E-04,0.355251622,0.209363493,2.98E-18
0.01384083,0.010380623,0.017301038,0.014994233,0.008073818,0.061130334,0.711649366,0.104959631,0.039215686,0.018454441,9.94E-16
0.009039548,0.025047081,0.004708098,0.025988701,0.008851224,0.197551789,0.29039548,0.220338983,0.030696798,0.187382298,1.78E-14
0.015070922,0.012411348,0.007978723,0.086879433,0.010638298,0.210106383,0.414007092,0.163120567,0.035460993,0.044326241,3.08E-14
0.004368658,0.027339346,0.020574972,0.002113867,0.001409245,0.038472379,0.535231116,0.051578354,0.254650507,0.064261556,1.27E-16
0.024229075,0.011013216,0.179295154,0.101321586,0.016740088,0.189427313,0.220264317,0.040088106,0.087665198,0.129955947,1.55E-12
0.016932595,0.014327581,0.023445132,0.021165744,0.024096386,0.07294041,0.023445132,0.765874308,0.022793878,0.014978834,1.30E-15
0.011928429,0.033797217,0.031809145,0.039761431,0.035785288,0.047713718,0.131212724,0.530815109,0.089463221,0.047713718,2.59E-13
0.001194947,0.001877774,0.122567429,0.001109594,0.001877774,0.099522021,0.050699898,0.707664732,0.008023216,0.005462615,8.97E-20
0.011933822,0.005153241,0.035801465,0.014646054,0.004882018,0.018714402,0.684296176,0.152698671,0.058584215,0.013289938,2.40E-16
0.00394124,0.007524185,0.183805088,0.006091007,0.00394124,0.031888212,0.204944464,0.020064493,0.529917592,0.007882479,7.17E-17
0.012486428,0.013572204,0.072204126,0.02660152,0.009229099,0.049402823,0.32844734,0.024972856,0.404451683,0.058631922,2.89E-14
0.012437811,0.375621891,0.014925373,0.019900498,0.054726368,0.251243781,0.094527363,0.104477612,0.047263682,0.024875622,2.22E-13
0.006310475,0.012200252,0.05384939,0.00252419,0.00504838,0.154396298,0.286074884,0.270088347,0.198990324,0.010517459,1.32E-15
0.005686434,0.003858652,0.167952884,0.004061738,0.012794476,0.057676686,0.50528026,0.11738424,0.092810723,0.032493907,1.98E-15
0.003526858,0.00759631,0.003255562,0.010037982,0.029842648,0.021975041,0.02712968,0.074064026,0.751220836,0.071351058,6.18E-17
0.001009637,6.88E-04,0.025516292,0.001376778,0.001239101,0.018219367,0.444699403,0.012161542,0.494079853,0.001009637,1.49E-21
0.003307276,0.006915213,0.036079375,0.004509922,0.002405292,0.008719182,0.039085989,0.009320505,0.884546001,0.005111245,1.29E-19
0.010342599,0.012281836,0.014221073,0.019392372,0.007756949,0.059469942,0.067226891,0.025210084,0.594053006,0.190045249,3.09E-15
6.41E-04,0.001388444,0.962191605,0.001815657,0.004272135,0.01740895,0.003097298,0.005233365,0.002136067,0.001815657,7.27E-24
0.096385542,0.020654045,0.012048193,0.061962134,0.17555938,0.077452668,0.094664372,0.108433735,0.027538726,0.325301205,1.86E-12
0.066889632,0.021181717,0.011148272,0.108138239,0.014492754,0.547380156,0.018952062,0.039018952,0.010033445,0.162764771,1.64E-14
0.110792308,0.00422833,0.053760193,0.002466526,0.007097554,0.093526628,0.278767744,0.196264975,0.108678144,0.144417598,3.54E-14
0.021370671,0.00559192,0.02163076,0.017512679,0.049633708,0.018336295,0.101131388,0.602150072,0.132992327,0.02965018,9.89E-15
0.010803882,0.022706464,0.063724593,0.006958433,0.002563633,0.021973997,0.561252518,0.035158396,0.213147775,0.061710309,1.59E-15
0.002048656,0.004481434,0.002816901,0.008450704,0.006402049,0.040460948,0.210883483,0.657106274,0.016005122,0.05134443,6.45E-18
0.002148907,0.001643282,0.899886234,0.001516875,0.002907344,0.058526103,0.002275313,0.02882063,0.001137656,0.001137656,6.96E-23
0.032219962,0.002427981,0.024804777,0.017586456,0.048887722,0.116871186,0.084388739,0.509088523,0.055581075,0.108143579,5.03E-14
0.068742418,0.008087343,0.019409624,0.034775576,0.006874242,0.012939749,0.051758997,0.004852406,0.665992721,0.126566923,7.07E-16
0.015364355,0.00570676,0.016022827,0.019973661,0.009438104,0.054214223,0.413081651,0.017339772,0.428665496,0.020193152,8.90E-16
0.003211517,0.018493909,0.008194906,0.005758583,0.011960133,0.088815061,0.089590255,0.659689922,0.10166113,0.012624585,2.26E-16
0.020377358,0.003471698,0.041056604,0.019622642,0.006943396,0.132528302,0.353207547,0.046188679,0.207245283,0.169358491,3.00E-14
0.069224071,7.74E-04,0.037635449,0.002080108,0.014802632,0.216524768,0.02307469,0.418682276,0.011803406,0.205398607,3.15E-16
0.001442201,0.003439095,0.003993787,0.006656312,0.004770357,0.105835367,0.092633681,0.503882849,0.206789439,0.070556911,4.53E-17
0.02042607,0.004387042,0.003790405,0.015302004,0.003965886,0.05724213,0.211595831,0.445969185,0.10585056,0.131470888,1.55E-15
